64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2788","2026","Keondre Fields","Alabama A&M","RF","Jr","28","0.273","0.429","0.338","14","77","21","2","0","26","1","9","14","7","0","0","15","2","0","5","0","98"
"2789","2026","Ethan Gonzalez","Wichita St.","C","Jr","20","0.173","0.377","0.250","9","52","9","1","0","13","1","10","11","6","0","1","19","0","0","0","0","70"
"2790","2026","Nick Bergamotto","Siena","2B","Sr","20","0.300","0.395","0.357","10","70","21","1","0","25","1","6","10","1","0","0","10","0","0","1","1","81"
"2791","2026","Matt Ossenfort","Michigan","1B","Jr","28","0.222","0.319","0.286","10","63","14","1","0","18","1","5","7","2","0","0","17","0","0","0","0","72"
"2792","2026","Mark Collins","Louisiana","LF","So","21","0.250","0.325","0.444","5","36","9","2","1","16","1","2","3","1","0","0","6","1","0","4","0","40"
"2793","2026","Christian Smith-Johnson","A&M-Corpus Christi","CF","Sr","28","0.231","0.346","0.297","21","91","21","2","2","27","0","11","11","5","0","4","26","2","0","13","0","111"
"2794","2026","James Agabedis","Tulane","2B","Sr","21","0.109","0.226","0.304","9","46","5","0","0","14","3","10","6","1","0","5","21","0","0","1","0","58"
"2795","2026","Jonathan Xuereb","App State","SS","Jr","15","0.304","0.426","0.411","10","56","17","4","1","23","0","10","10","2","0","0","8","2","1","0","0","68"
"2796","2026","Austin Young","Fresno St.","C","Sr","20","0.245","0.333","0.327","2","49","12","4","0","16","0","7","7","0","1","1","12","0","0","1","0","58"
"2797","2026","Cooper Eggert","SIUE","RF","Fr","15","0.320","0.393","0.480","5","25","8","0","2","12","0","3","2","1","0","0","5","0","0","2","0","28"
"2798","2026","Chris Barkasy","Central Conn. St.","2B","Jr","20","0.297","0.408","0.359","19","64","19","2","1","23","0","7","8","4","0","1","9","0","0","3","0","77"
"2799","2026","Chase Williams","Florida St.","CF","Jr","25","0.203","0.300","0.241","17","79","16","3","0","19","0","8","11","0","0","2","27","2","0","8","0","92"
